COIN_NAME,STRATEGY,START DATE,FINISH DATE,START BALANCE,END BALANCE,% WIN,TRADES NUM
LTC,BBRSI,2018-09-01 00:34:00,2018-09-02 14:49:00,"100,00177552","99,76537568","-0,236395642748",3
LTC,RSI,2018-09-01 00:34:00,2018-09-02 01:34:00,"100,00177552","101,418477652","1,41667697833",3
LTC,DEBUG_single-advice,2018-09-01 00:34:00,2018-09-01 01:50:00,"100,00177552","100,58534809","0,583562208736",2
LTC,tulip-adx,2018-09-01 00:34:00,2018-09-02 18:04:00,"100,00177552","101,65013608","1,64833129355",4
LTC,UO,2018-09-01 00:34:00,2018-09-01 22:49:00,"100,00177552","99,7517701136","-0,250000967609",2
LTC,DEBUG_toggle-advice,2018-09-01 00:34:00,2018-09-03 00:04:00,"100,00177552","86,4963422872","-13,5051934454",64
LTC,FIXPRICE,2018-09-01 00:34:00,2018-09-01 00:49:00,"100,00177552","99,751779","-0,249992081365",1
LTC,EMACrossover,2018-09-01 00:34:00,2018-09-02 04:34:00,"100,00177552","100,086198856","0,0844218373667",3
ETC,NEO,2018-09-01 00:46:00,2018-09-02 14:16:00,"100,00036513","99,09743118","-0,902930653129",2
ETC,DI,2018-09-01 00:46:00,2018-09-02 15:01:00,"100,00036513","96,4835920561","-3,51676023318",9
ETC,StochRSI,2018-09-01 00:46:00,2018-09-02 21:31:00,"100,00036513","98,90138172","-1,0989793973",14
ETC,RSI_BB_ADX_Peak,2018-09-01 00:46:00,2018-09-01 07:01:00,"100,00036513","99,750366202","-0,249998015184",1
ETC,TMA,2018-09-01 00:46:00,2018-09-02 04:01:00,"100,00036513","100,00036648","1,34999507395e-06",1
ETC,RsiStopLoss,2018-09-01 00:46:00,2018-09-01 01:01:00,"100,00036513","99,750362702","-0,250001515181",1
ETC,DynBuySell,2018-09-01 00:46:00,2018-09-01 01:46:00,"100,00036513","99,7503671","-0,249997117199",1
ETC,RSI_BULL_BEAR,2018-09-01 00:46:00,2018-09-03 00:16:00,"100,00036513","100,77161577","0,771247823943",2
ETC,buyatsellat_ui,2018-09-01 00:46:00,2018-09-01 01:01:00,"100,00036513","99,750362702","-0,250001515181",1
ETC,DEMACrossover,2018-09-01 00:46:00,2018-09-02 03:31:00,"100,00036513","99,25170485","-0,748657546413",3
ETC,TSI,2018-09-01 00:46:00,2018-09-03 00:46:00,"100,00036513","102,04048698","2,04011440093",3
ETC,PPO,2018-09-01 00:46:00,2018-09-02 22:46:00,"100,00036513","96,8580274216","-3,14232623485",9
ETC,custom,2018-09-01 00:46:00,2018-09-03 00:16:00,"100,00036513","96,62975413","-3,37059869293",19
ETC,RSI_BULL_BEAR_ADX_PINGPONG,2018-09-01 00:46:00,2018-09-03 00:46:00,"100,00036513","102,29933225","2,29895872581",4
ETC,Supertrend_Gab0,2018-09-01 00:46:00,2018-09-03 00:16:00,"100,00036513","94,5277659958","-5,47257915221",13
ETC,x2_rsi,2018-09-01 00:46:00,2018-09-03 00:16:00,"100,00036513","101,64846247","1,64809132232",2
ETC,RSI_Bull_Bear_Adx_Stop,2018-09-01 00:46:00,2018-09-03 00:46:00,"100,00036513","101,71751402","1,7171426202",2
